event,time,ticker,side,lots,signal_time,entry_price,exit_price,entry_total_amount,exit_total_amount,entry_commission,exit_commission,commission_rub,gross_pnl_rub,net_pnl_rub,gross_pnl_bp,net_pnl_bp,close_at,arm
OPEN,2026-09-11T10:18:55.846039+00:00,ROSN,1,1,2026-09-11T10:16:00+00:00,346.45,,346.45,,0.173225,,,,,,,2026-09-11T10:46:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T10:32:01.563217+00:00,SBER,1,1,2026-09-11T10:30:00+00:00,282.57,,282.57,,0.141285,,,,,,,2026-09-11T11:00:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T10:38:35.994482+00:00,LKOH,-1,1,2026-09-11T10:36:00+00:00,5256.5,,5256.5,,2.62825,,,,,,,2026-09-11T11:06:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T10:46:08.664839+00:00,ROSN,1,1,2026-09-11T10:16:00+00:00,346.45,347.25,346.45,347.25,0.173225,0.173625,0.34685,0.8000000000000114,0.4531500000000114,23.09135517390759,13.079809496320143,,NO_BROAD_TREND
OPEN,2026-09-11T10:53:01.154543+00:00,GAZP,1,1,2026-09-11T10:51:00+00:00,91.71,,917.1,,0.45855,,,,,,,2026-09-11T11:21:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T11:00:03.789465+00:00,SBER,1,1,2026-09-11T10:30:00+00:00,282.57,281.8,282.57,281.8,0.141285,0.1409,0.282185,-0.7699999999999818,-1.052184999999982,-27.249884984250627,-37.236260041758925,,NO_BROAD_TREND
OPEN,2026-09-11T11:02:55.185721+00:00,BSPB,1,1,2026-09-11T11:00:00+00:00,251.99,,2519.9,,1.25995,,,,,,,2026-09-11T11:30:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T11:02:55.185721+00:00,TATN,1,1,2026-09-11T11:00:00+00:00,621.4,,621.4,,0.3107,,,,,,,2026-09-11T11:30:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T11:03:58.497851+00:00,GMKN,1,1,2026-09-11T11:02:00+00:00,129.44,,1294.4,,0.6472,,,,,,,2026-09-11T11:32:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T11:06:02.245098+00:00,LKOH,-1,1,2026-09-11T10:36:00+00:00,5256.5,5242.5,5256.5,5242.5,2.62825,2.62125,5.249499999999999,14.0,8.7505,26.63369161989948,16.647008465709124,,NO_BROAD_TREND
CLOSE,2026-09-11T11:21:00.770649+00:00,GAZP,1,1,2026-09-11T10:51:00+00:00,91.71,92.18,917.1,921.8,0.45855,0.4609,0.91945,4.699999999999932,3.780549999999932,51.24850070875819,41.22287645840074,,NO_BROAD_TREND
OPEN,2026-09-11T11:22:41.897964+00:00,ROSN,1,1,2026-09-11T11:20:00+00:00,350.35,,350.35,,0.175175,,,,,,,2026-09-11T11:50:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T11:30:05.850399+00:00,BSPB,1,1,2026-09-11T11:00:00+00:00,251.99,252.22,2519.9,2522.2,1.25995,1.2610999999999999,2.52105,2.299999999999727,-0.22105000000027264,9.127346323265506,-0.877217349895919,,NO_BROAD_TREND
CLOSE,2026-09-11T11:30:05.850399+00:00,TATN,1,1,2026-09-11T11:00:00+00:00,621.4,625.3,621.4,625.3,0.3107,0.31265,0.62335,3.8999999999999773,3.2766499999999774,62.76150627614996,52.73012552301219,,NO_BROAD_TREND
CLOSE,2026-09-11T11:32:03.432756+00:00,GMKN,1,1,2026-09-11T11:02:00+00:00,129.44,129.82,1294.4,1298.2,0.6472,0.6491,1.2963,3.7999999999999545,2.5036999999999545,29.35723114956712,19.34255253399223,,NO_BROAD_TREND
OPEN,2026-09-11T11:35:54.949117+00:00,AFKS,1,1,2026-09-11T11:33:00+00:00,7.436,,743.6,,0.3718,,,,,,,2026-09-11T12:03:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T11:35:54.949117+00:00,TATN,1,1,2026-09-11T11:33:00+00:00,623.3,,623.3,,0.31165,,,,,,,2026-09-11T12:03:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T11:50:09.879345+00:00,ROSN,1,1,2026-09-11T11:20:00+00:00,350.35,348.6,350.35,348.6,0.175175,0.1743,0.349475,-1.75,-2.099475,-49.95004995005048,-59.925074925074924,,NO_BROAD_TREND
CLOSE,2026-09-11T12:03:09.021722+00:00,AFKS,1,1,2026-09-11T11:33:00+00:00,7.436,7.425,743.6,742.5,0.3718,0.37125,0.74305,-1.1000000000000227,-1.8430500000000227,-14.792899408284654,-24.785502958580185,,NO_BROAD_TREND
CLOSE,2026-09-11T12:03:09.021722+00:00,TATN,1,1,2026-09-11T11:33:00+00:00,623.3,618.6,623.3,618.6,0.31165,0.3093,0.62095,-4.699999999999932,-5.3209499999999315,-75.40510187710514,-85.3673993261661,,NO_BROAD_TREND
OPEN,2026-09-11T12:29:54.868285+00:00,GMKN,1,1,2026-09-11T12:27:00+00:00,128.0,,1280.0,,0.64,,,,,,,2026-09-11T12:57:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T12:57:03.715391+00:00,GMKN,1,1,2026-09-11T12:27:00+00:00,128.0,129.36,1280.0,1293.6,0.64,0.6468,1.2868,13.599999999999909,12.31319999999991,106.25000000000107,96.19687499999928,,NO_BROAD_TREND
OPEN,2026-09-11T13:01:57.038884+00:00,NVTK,-1,1,2026-09-11T12:59:00+00:00,1036.0,,1036.0,,0.518,,,,,,,2026-09-11T13:29:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T13:29:06.440659+00:00,NVTK,-1,1,2026-09-11T12:59:00+00:00,1036.0,1034.1,1036.0,1034.1,0.518,0.51705,1.03505,1.900000000000091,0.8649500000000909,18.339768339769023,8.348938223939102,,NO_BROAD_TREND
OPEN,2026-09-11T13:45:02.096184+00:00,TATN,1,1,2026-09-11T13:43:00+00:00,614.7,,614.7,,0.30735,,,,,,,2026-09-11T14:13:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T14:13:00.158295+00:00,TATN,1,1,2026-09-11T13:43:00+00:00,614.7,613.6,614.7,613.6,0.30735,0.3068,0.61415,-1.1000000000000227,-1.7141500000000227,-17.894908085245298,-27.885960631202583,,NO_BROAD_TREND
OPEN,2026-09-11T20:44:58.793556+00:00,SNGSP,-1,1,2026-09-11T20:42:00+00:00,41.79,,417.9,,0.20895,,,,,,,2026-09-11T21:12:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T23:00:14.029969+00:00,SNGSP,-1,1,2026-09-11T20:42:00+00:00,41.79,42.005,417.9,420.05,0.20895,0.210025,0.418975,-2.150000000000034,-2.568975000000034,-51.44771476429888,-61.47343862168065,,NO_BROAD_TREND
OPEN,2026-09-13T09:45:11.113720+00:00,GAZP,-1,1,2026-09-13T09:43:00+00:00,92.91,,929.1,,0.46455,,,,,,,2026-09-13T10:13:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-13T10:13:08.561630+00:00,GAZP,-1,1,2026-09-13T09:43:00+00:00,92.91,93.0,929.1,930.0,0.46455,0.465,0.9295500000000001,-0.8999999999999773,-1.8295499999999774,-9.686793671295213,-19.691637068130202,,NO_BROAD_TREND
