time,price,quantity,direction
2026-07-13T18:52:47.504715+00:00,94.37,1,1
2026-07-13T18:52:48.349266+00:00,94.36,1,2
2026-07-13T18:52:52.216644+00:00,94.37,1,1
2026-07-13T18:53:03.564670+00:00,94.36,1,2
2026-07-13T18:53:07.785495+00:00,94.36,100,2
2026-07-13T18:53:37.864992+00:00,94.37,1,1
2026-07-13T18:53:41.336171+00:00,94.36,10,2
2026-07-13T18:53:49.393092+00:00,94.36,1,2
2026-07-13T18:53:49.634295+00:00,94.36,367,2
2026-07-13T18:53:49.634912+00:00,94.36,52,2
2026-07-13T18:53:49.637564+00:00,94.36,30,2
2026-07-13T18:53:49.638163+00:00,94.35,52,2
2026-07-13T18:53:49.638604+00:00,94.34,52,2
2026-07-13T18:53:49.639100+00:00,94.34,660,2
2026-07-13T18:53:49.639619+00:00,94.34,660,2
2026-07-13T18:53:49.640303+00:00,94.34,125,2
2026-07-13T18:53:49.643154+00:00,94.33,52,2
2026-07-13T18:53:49.643662+00:00,94.33,180,2
2026-07-13T18:53:49.643959+00:00,94.33,660,2
2026-07-13T18:53:49.646563+00:00,94.33,513,2
2026-07-13T18:53:49.647024+00:00,94.33,300,2
2026-07-13T18:53:49.647552+00:00,94.33,211,2
2026-07-13T18:53:49.648220+00:00,94.32,100,2
2026-07-13T18:53:49.648693+00:00,94.32,102,2
2026-07-13T18:53:49.649039+00:00,94.32,52,2
2026-07-13T18:53:49.649466+00:00,94.32,180,2
2026-07-13T18:53:49.649848+00:00,94.31,500,2
2026-07-13T18:53:49.650293+00:00,94.31,102,2
2026-07-13T18:53:49.650716+00:00,94.3,50,2
2026-07-13T18:53:52.152806+00:00,94.32,409,2
2026-07-13T18:53:52.975797+00:00,94.32,10,2
2026-07-13T18:53:53.193027+00:00,94.32,74,2
2026-07-13T18:53:53.230435+00:00,94.32,20,2
2026-07-13T18:53:53.234029+00:00,94.31,70,1
2026-07-13T18:53:53.245616+00:00,94.31,32,1
2026-07-13T18:53:53.249335+00:00,94.31,32,1
2026-07-13T18:53:53.249915+00:00,94.32,100,1
2026-07-13T18:53:53.251678+00:00,94.32,70,1
2026-07-13T18:53:53.257806+00:00,94.32,32,1
2026-07-13T18:53:53.657752+00:00,94.29,52,2
