score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,30.0,25.0,96,10,-293.2598417542645,-276.13420916986576,-329.8120989496655,76.6977241383293,-199.0458264208756,1,5,-1021.554252156342,-10.641190126628564,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,25.0,96,12,-329.2598417542645,-310.13420916986576,-395.8120989496655,58.697724138329306,-237.0458264208756,1,5,-1213.554252156342,-12.641190126628564,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,35.0,94,0,-301.8446840376593,-62.375605330546875,132.7121430897296,113.00039148167465,-119.81122928289227,2,5,-238.3189840796938,-2.535308341273338,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,2,-333.8446840376593,-96.37560533054688,66.71214308972961,95.00039148167465,-157.81122928289227,2,5,-426.3189840796938,-4.535308341273338,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,4,-365.8446840376593,-130.37560533054688,0.7121430897296079,77.00039148167465,-195.81122928289227,2,5,-614.3189840796938,-6.535308341273338,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,6,-397.8446840376593,-164.37560533054688,-65.28785691027039,59.00039148167465,-233.81122928289227,1,5,-802.3189840796938,-8.535308341273339,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,8,-429.8446840376593,-198.37560533054688,-131.2878569102704,41.00039148167465,-271.81122928289227,1,5,-990.3189840796938,-10.535308341273339,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,10,-461.8446840376593,-232.37560533054688,-197.2878569102704,23.000391481674647,-309.81122928289227,1,5,-1178.3189840796938,-12.535308341273339,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,35.0,94,12,-493.8446840376593,-266.3756053305469,-263.2878569102704,5.000391481674647,-347.81122928289227,1,5,-1366.3189840796938,-14.535308341273339,-1277.2989367630207,-1197.2433169718545
1.3,0.6,1.5,60.0,30.0,50.0,94,0,-281.5534012288748,-49.27837276548075,257.4226519799348,98.64139180961192,-107.60656615234507,2,5,-82.37429635715375,-0.8763223016718484,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,30.0,50.0,94,2,-313.5534012288748,-83.27837276548075,191.4226519799348,80.64139180961192,-145.60656615234507,2,5,-270.37429635715375,-2.8763223016718484,-1121.354249040481,-1099.0786930497975
