share_min,market_ret5_min,start_hour,score_max,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_days,sep_pos_days,sep_no_best_day,fresh_trades,fresh_net,fresh_mean
0.45,-0.003,14,2.2,200.1499689932263,145.9727130031728,-105.79506540922893,-5.5681791208968505,528.5850964852416,3,5,28,763.3445339515149,27.262304783982675,71.42857142857143,15,9,340.6027457901159,641.4002126589173,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,14,99.0,361.00910345614193,198.60236981441372,-30.95005999633321,-5.5681791208968505,668.4455031669511,3,5,40,1191.5387373202766,29.788468433006916,72.5,18,13,792.5508261532232,948.301156533537,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,10,1.7,89.37609847510856,105.78214643389995,-90.47999877483758,-12.749644611841916,336.8132767776327,3,5,21,428.7418782999617,20.416279919045795,66.66666666666666,14,8,152.6317502558789,223.3042532701,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.002,10,1.9,221.78457525379167,152.35159369034935,-47.20549191278107,-64.6161652145457,476.58727124825725,3,5,35,738.9017830650713,21.111479516144893,68.57142857142857,19,12,384.07542150188397,535.7701074966094,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,10,2.2,270.7265593389313,146.67351648495665,-179.82342726860003,-71.10565543530126,430.7287934880731,3,5,50,597.1997866080598,11.943995732161195,60.0,20,12,234.0067623630079,394.0681110395978,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,10,99.0,228.9675046772726,186.55771796595047,-120.57622848991136,48.143590609350746,623.1629710641514,4,5,77,966.2555558268137,12.548773452296283,59.74025974025974,22,13,626.8164085761075,606.3600847129264,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,12,1.7,60.04180321888886,105.78214643389995,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,16,401.14691764492443,25.071682352807777,68.75,11,6,125.03678960084164,195.70929261506274,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.002,12,1.9,127.45045743964151,90.21969426577263,7.848063477355154,-117.9303860034995,476.58727124825725,4,5,28,584.1751004275269,20.863396443840248,67.85714285714286,17,10,229.34873886433957,446.0432474169954,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,12,2.2,184.2796680831595,150.7610582711123,1.0930194717002166,-124.41987622425506,528.5850964852416,4,5,36,740.2989660869583,20.563860169082176,66.66666666666666,18,9,317.5571779255593,602.1671130764269,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,12,99.0,271.4238518704907,134.66747596185962,202.6111114299618,-124.41987622425506,668.4455031669511,4,5,55,1152.7280662050082,20.95869211281833,65.45454545454545,20,12,753.7401550379548,845.4063659854896,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,13,1.7,60.04180321888886,105.78214643389995,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,16,401.14691764492443,25.071682352807777,68.75,11,6,125.03678960084164,195.70929261506274,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.002,13,1.9,127.45045743964151,157.52546628510282,-46.432770291307065,-56.90965965988841,476.58727124825725,3,5,25,658.220765021806,26.328830600872237,72.0,15,10,303.3944034586186,452.78313999194427,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,13,2.2,184.2796680831595,218.0668302904425,-53.18781429696202,-63.399149880643975,528.5850964852416,3,5,33,814.3446306812375,24.67711002064356,69.6969696969697,17,10,391.6028425198385,608.9070056513758,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,13,99.0,345.1388025460751,208.12068898983327,84.24615822852067,-63.399149880643975,668.4455031669511,4,5,48,1242.5520030507362,25.886500063557005,68.75,19,11,843.5640918836827,984.4847212096336,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.002,14,1.7,75.9121041289557,33.688029146630264,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,13,344.9231012677216,26.5325462513632,69.23076923076923,8,4,68.81297322363883,258.291179378596,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
